Jake Allen\allenja01,STL,12,48,607,2
Frederik Andersen\anderfr01,TOR,29,143,1434,3
Craig Anderson\andercr01,OTT,11,100,918,0
David Ayres\ayresda01,CAR,1,2,8,0
Jonathan Bernier\bernijo01,DET,15,126,1227,1
Antoine Bibeau\bibeaan01,COL,1,5,37,0
Jordan Binnington\binnijo01,STL,30,126,1304,3
Ben Bishop\bishobe01,DAL,21,103,1183,2
MacKenzie Blackwood\blackma01,NJD,22,124,1328,3
Sergei Bobrovsky\bobrose01,FLA,23,151,1354,1
Laurent Brossoit\brossla01,WPG,6,54,458,0
Jack Campbell\campbja01,TOT,11,73,688,0
Jack Campbell\campbja01,LAK,8,57,515,0
Jack Campbell\campbja01,TOR,3,16,173,0
Eric Comrie\comrier01,DET,0,9,57,0
Corey Crawford\crawfco01,CHI,16,108,1186,1
Oscar Dansk\danskos01,VEG,0,6,31,0
Aaron Dell\dellaa01,SJS,12,92,894,0
Thatcher Demko\demkoth01,VAN,13,78,744,0
Michael Dipietro\dipiemi01,VAN,0,1,6,0
Louis Domingue\dominlo01,TOT,3,51,382,0
Louis Domingue\dominlo01,NJD,3,47,352,0
Louis Domingue\dominlo01,VAN,0,4,30,0
Chris Driedger\driedch01,FLA,7,22,332,1
Devan Dubnyk\dubnyde01,MIN,12,93,756,1
Brian Elliott\elliobr01,PHI,16,80,716,2
Marc-Andre Fleury\fleurma01,VEG,27,133,1266,5
Anton Forsberg\forsban01,CAR,1,8,70,0
Pavel Francouz\francpa01,COL,21,77,919,1
Alexandar Georgiev\georgal01,NYR,17,96,967,2
John Gibson\gibsojo02,ANA,20,149,1403,1
Thomas Greiss\greisth01,NYI,16,73,765,0
Philipp Grubauer\grubaph01,COL,18,90,977,2
Jaroslav Halak\halakja01,BOS,18,73,832,3
Carter Hart\hartca01,PHI,24,95,1005,1
Connor Hellebuyck\helleco01,WPG,31,140,1656,6
Adin Hill\hillad01,ARI,2,28,315,0
Marcus Hogberg\hogbema01,OTT,5,70,658,0
Braden Holtby\holtbbr01,WSH,25,142,1243,0
Jimmy Howard\howarja02,DET,2,96,721,0
Michael Hutchinson\hutchmi01,TOT,5,49,390,1
Michael Hutchinson\hutchmi01,TOR,4,48,373,1
Michael Hutchinson\hutchmi01,COL,1,1,17,0
Carter Hutton\huttoca01,BUF,12,94,824,2
Tristan Jarry\jarrytr01,PIT,20,78,907,3
Jonas Johansson\johanjo03,BUF,1,16,135,0
Martin Jones\jonesma02,SJS,17,118,1021,2
Kaapo Kahkonen\kahkoka01,MIN,3,15,157,0
Kasimir Kaskisuo\kaskika01,TOR,0,6,32,0
Anton Khudobin\khudoan01,DAL,16,62,820,0
Keith Kinkaid\kinkake01,MTL,1,24,168,0
Matiss Kivlenieks\kivlema01,CBJ,1,14,123,0
Joonas Korpisalo\korpijo01,CBJ,19,92,938,2
Mikko Koskinen\koskimi01,EDM,18,97,1078,1
Darcy Kuemper\kuempda01,ARI,16,65,838,2
Robin Lehner\lehnero01,TOT,19,99,1136,1
Robin Lehner\lehnero01,CHI,16,94,1058,0
Robin Lehner\lehnero01,VEG,3,5,78,1
Charlie Lindgren\lindgch01,MTL,2,20,158,0
Henrik Lundqvist\lundqhe01,NYR,10,84,799,1
Alex Lyon\lyonal01,PHI,1,8,65,0
Jacob Markstrom\marksja02,VAN,23,117,1303,2
Curtis McElhinney\mcelhcu01,TBL,8,52,499,1
Elvis Merzlikins\merzlel01,CBJ,13,71,848,5
Ryan Miller\millery01,ANA,9,64,621,0
Sam Montembeault\montesa01,FLA,5,39,317,0
Petr Mrazek\mrazepe01,CAR,21,104,987,3
Matt Murray\murrama02,PIT,20,107,948,1
Alex Nedeljkovic\nedelal01,CAR,1,11,86,0
Anders Nilsson\nilssan01,OTT,9,58,570,0
Calvin Petersen\peterca01,LAK,5,21,248,0
Calvin Pickard\pickaca01,DET,0,15,59,0
Carey Price\priceca01,MTL,27,160,1595,4
Cayden Primeau\primeca01,MTL,1,5,67,0
Jonathan Quick\quickjo01,LAK,16,117,1107,1
Antti Raanta\raantan01,ARI,15,80,934,2
Tuukka Rask\rasktu01,BOS,26,85,1104,5
James Reimer\reimeja01,CAR,14,61,651,3
Pekka Rinne\rinnepe01,NSH,18,105,899,3
David Rittich\rittida01,CGY,24,138,1340,2
Ilya Samsonov\samsoil01,WSH,16,60,629,1
Juuse Saros\sarosju01,NSH,17,98,1044,4
Cory Schneider\schneco01,NJD,3,40,315,1
Gilles Senn\senngi01,NJD,0,4,37,0
Igor Shesterkin\shestig01,NYR,10,29,395,0
Mike Smith\smithmi01,EDM,19,106,981,1
Garret Sparks\sparkga01,VEG,0,2,12,0
Alex Stalock\staloal01,MIN,20,97,985,4
Anthony Stolarz\stolaan01,ANA,0,2,33,0
Malcolm Subban\subbama01,TOT,9,60,486,0
Malcolm Subban\subbama01,VEG,9,60,486,0
Malcolm Subban\subbama01,CHI,0,0,0,0
Cam Talbot\talboca01,CGY,12,63,717,2
Linus Ullmark\ullmali01,BUF,17,91,975,1
Semyon Varlamov\varlasi01,NYI,19,110,1168,2
Andrei Vasilevskiy\vasilan02,TBL,35,133,1472,3
Adam Werner\wernead01,COL,1,5,53,0
