Justin Abdelkader\abdelju01,DET,LW,0,3,0,0,0,0,0,40,26,103
Pontus Aberg\abergpo01,TOR,LW,0,1,0,0,0,0,0,4,1,1
Vitaly Abramov\abramvi01,OTT,RW,1,0,0,0,0,0,0,3,0,0
Noel Acciari\acciano01,FLA,C,20,7,0,1,5,0,0,108,103,121
Andrew Agozzino\agozzan01,TOT,LW,1,2,0,0,0,0,0,10,7,25
Andrew Agozzino\agozzan01,PIT,LW,0,2,0,0,0,0,0,8,5,19
Andrew Agozzino\agozzan01,ANA,LW,1,0,0,0,0,0,0,2,2,6
Sebastian Aho\ahose01,CAR,F,38,28,8,4,5,9,1,206,20,55
Karl Alzner\alzneka01,MTL,D,0,0,0,0,0,0,0,4,4,1
Michael Amadio\amadimi01,LAK,C,6,10,0,0,0,3,0,99,22,21
Joey Anderson\anderjo08,NJD,RW,4,2,0,0,0,0,0,21,6,16
Josh Anderson\anderjo05,CBJ,RW,1,3,0,0,0,0,0,63,13,68
Michael Anderson\andermi02,LAK,D,1,0,0,0,1,0,0,9,10,10
Jaret Anderson-Dolan\anderja01,LAK,C,0,0,0,0,0,0,0,2,0,3
Lias Andersson\anderli01,NYR,C,0,1,0,0,0,0,0,13,8,20
Rasmus Andersson\anderra01,CGY,D,5,17,0,0,0,4,0,124,83,51
Andy Andreoff\andrean01,PHI,LW,0,1,0,0,0,0,0,14,4,20
Anthony Angello\angelan01,PIT,C,1,0,0,0,0,0,0,5,5,13
Artem Anisimov\anisiar01,OTT,C,15,5,5,0,1,1,0,87,25,6
Mason Appleton\applema01,WPG,C,5,3,0,1,0,0,0,55,12,20
Josh Archibald\archijo01,EDM,RW,12,9,0,2,3,0,1,64,44,165
Joel Armia\armiajo01,MTL,RW,16,14,3,3,2,1,1,155,25,146
Viktor Arvidsson\arvidvi01,NSH,LW,15,13,4,0,1,4,0,127,24,27
Rasmus Asplund\asplura01,BUF,F,1,2,0,0,0,0,1,36,7,20
Zach Aston-Reese\astonza01,PIT,C,6,7,0,1,0,0,0,98,30,136
Andreas Athanasiou\athanan01,TOT,C,11,15,3,0,2,4,0,129,24,36
Andreas Athanasiou\athanan01,DET,C,10,14,3,0,2,4,0,115,21,28
Andreas Athanasiou\athanan01,EDM,C,1,1,0,0,0,0,0,14,3,8
Cam Atkinson\atkinca01,CBJ,RW,12,14,3,0,2,5,0,148,21,18
Nicolas Aube-Kubel\aubekni01,PHI,RW,7,8,2,0,1,1,0,48,16,82
David Backes\backeda01,TOT,C,1,5,1,0,1,0,0,34,8,38
David Backes\backeda01,BOS,C,1,2,1,0,1,0,0,26,4,22
David Backes\backeda01,ANA,C,0,3,0,0,0,0,0,8,4,16
Mikael Backlund\backlmi01,CGY,C,16,29,3,3,3,7,0,157,11,44
Nicklas Backstrom\backsni02,WSH,C,12,42,2,0,0,16,0,132,45,30
Sven Baertschi\baertsv01,VAN,LW,0,2,0,0,0,2,0,7,0,5
Josh Bailey\bailejo01,NYI,C,14,29,2,1,2,7,0,94,48,20
Justin Bailey\baileju01,VAN,RW,0,0,0,0,0,0,0,1,0,4
Rudolfs Balcers\balceru01,OTT,LW,1,2,0,0,1,0,0,23,7,19
Ivan Barbashev\barbaiv01,STL,C,11,15,0,2,2,0,1,75,33,144
Riley Barber\barberi01,MTL,RW,0,0,0,0,0,0,0,6,1,15
Mark Barberio\barbema01,COL,D,0,2,0,0,0,0,0,29,19,13
Cole Bardreau\bardrco01,NYI,F,1,1,0,0,1,0,0,10,1,21
Aleksander Barkov\barkoal01,FLA,C,20,42,7,0,2,13,1,172,35,21
Tyson Barrie\barrity01,TOR,D,5,34,1,0,0,11,0,169,76,47
Mathew Barzal\barzama01,NYI,C,19,41,4,0,2,8,0,171,43,22
Drake Batherson\bathedr01,OTT,C,3,7,1,0,0,5,0,32,11,51
Jay Beagle\beaglja01,VAN,RW,2,6,0,1,1,0,1,49,42,69
Ethan Bear\bearet01,EDM,D,5,16,1,0,1,1,0,99,106,59
J.C. Beaudin\beaudje01,OTT,C,0,1,0,0,0,0,0,18,11,51
Nicolas Beaudin\beaudni01,CHI,D,0,0,0,0,0,0,0,2,2,2
Nathan Beaulieu\beaulna01,WPG,D,1,7,0,0,1,0,0,38,47,62
Anthony Beauvillier\beauvan01,NYI,LW,18,21,3,1,3,4,0,132,36,86
Pierre-Edouard Bellemare\bellepi01,COL,LW,9,13,0,2,0,0,2,85,46,43
Kieffer Bellows\belloki01,NYI,LW,2,1,0,0,1,0,0,11,4,12
Emil Bemstrom\bemstem01,CBJ,C,10,10,5,0,4,3,0,97,17,52
Jamie Benn\bennja01,DAL,LW,19,20,8,0,4,6,0,163,57,167
Jordie Benn\bennjo01,VAN,D,1,6,0,0,1,0,0,58,62,45
Sam Bennett\bennesa01,CGY,C,8,4,0,0,0,1,0,82,13,101
Matt Benning\bennima01,EDM,D,1,7,0,0,0,0,0,38,34,78
Tyler Benson\bensoty01,EDM,LW,0,1,0,0,0,0,0,5,1,3
Patrice Bergeron\bergepa01,BOS,C,31,25,11,1,5,9,0,203,46,46
Lean Bergmann\bergmle01,SJS,F,0,1,0,0,0,0,0,11,5,29
Tyler Bertuzzi\bertuty01,DET,LW,21,27,3,0,1,11,0,129,30,71
Alex Biega\biegaal01,DET,D,0,3,0,0,0,0,0,55,46,115
Jake Bischoff\bischja01,VEG,D,0,0,0,0,0,0,0,6,8,8
Clark Bishop\bishocl01,CAR,C,0,1,0,0,0,0,0,4,0,5
Anthony Bitetto\bitetan01,WPG,D,0,8,0,0,0,0,1,54,50,145
Anders Bjork\bjorkan01,BOS,LW,9,10,1,0,0,0,0,66,21,43
Oliver Bjorkstrand\bjorkol01,CBJ,RW,21,15,3,0,5,3,0,162,16,43
Tobias Bjornfot\bjornto01,LAK,D,0,0,0,0,0,0,0,0,0,0
Nick Bjugstad\bjugsni01,PIT,C,1,1,0,0,0,0,0,18,7,19
Colin Blackwell\blackco01,NSH,C,3,7,0,0,0,0,0,31,23,43
Sammy Blais\blaissa01,STL,LW,6,7,0,0,1,0,0,56,15,155
Joseph Blandisi\blandjo01,PIT,C,2,3,0,0,1,0,0,12,9,26
Joachim Blichfeld\blichjo01,SJS,W,0,0,0,0,0,0,0,3,4,3
Anton Blidh\blidhan01,BOS,LW,0,0,0,0,0,0,0,9,5,20
Teddy Blueger\bluegte01,PIT,C,9,13,0,0,2,0,2,102,35,83
Mikkel Boedker\boedkmi01,OTT,RW,2,2,0,1,0,0,0,29,5,12
Brock Boeser\boesebr01,VAN,RW,16,29,5,0,3,9,0,169,14,28
Zach Bogosian\bogosza01,TOT,D,1,6,0,0,0,0,1,29,27,30
Zach Bogosian\bogosza01,BUF,D,1,4,0,0,0,0,0,18,21,22
Zach Bogosian\bogosza01,TBL,D,0,2,0,0,0,0,1,11,6,8
Nick Bonino\boninni01,NSH,C,18,17,1,0,3,0,0,104,89,17
Adam Boqvist\boqviad01,CHI,D,4,9,0,0,1,2,0,50,43,33
Jesper Boqvist\boqvije01,NJD,C,4,0,1,0,0,0,0,41,16,37
Henrik BorgstrÌ¦m\borgshe01,FLA,C,0,0,0,0,0,0,0,3,0,1
Mark Borowiecki\borowma01,OTT,D,7,11,0,1,0,0,0,63,120,199
Robert Bortuzzo\borturo01,STL,D,2,4,0,0,1,0,0,36,43,66
Gabriel Bourque\bourqga01,WPG,LW,2,4,0,0,0,0,0,33,40,125
Jay Bouwmeester\bouwmja01,STL,D,1,8,0,0,0,0,1,53,68,42
Madison Bowey\boweyma01,DET,D,3,14,0,0,0,1,0,70,58,53
Johnny Boychuk\boychjo01,NYI,D,2,9,1,0,0,0,0,96,128,135
Travis Boyd\boydtr01,WSH,C,3,7,0,0,0,1,0,26,9,14
Brian Boyle\boylebr01,FLA,C,6,9,1,0,1,0,0,56,34,65
Tyler Bozak\bozakty01,STL,C,13,16,2,1,2,2,0,109,33,32
Erik Brannstrom\branner01,OTT,D,0,4,0,0,0,1,0,38,36,15
Derick Brassard\brassde01,NYI,C,10,22,3,0,1,7,0,110,24,115
Jesper Bratt\brattje01,NJD,W,16,16,1,0,2,5,0,101,22,29
Justin Braun\braunju01,PHI,D,3,16,0,0,0,1,0,70,84,91
T.J. Brodie\broditj01,CGY,D,4,15,0,0,1,1,0,65,87,20
Jonas Brodin\brodijo01,MIN,D,2,26,0,0,0,1,2,103,112,41
Jonny Brodzinski\brodzjo01,SJS,C,0,1,0,0,0,0,0,5,0,3
Adam Brooks\brookad01,TOR,C,0,3,0,0,0,0,0,2,1,0
Troy Brouwer\brouwtr01,STL,RW,1,0,0,0,0,0,0,12,6,24
Connor Brown\brownco02,OTT,RW,16,27,3,0,1,1,2,173,35,39
Dustin Brown\browndu01,LAK,RW,17,18,1,0,1,4,0,169,15,143
Josh Brown\brownjo01,FLA,D,3,5,0,0,1,0,0,48,53,77
Logan Brown\brownlo01,OTT,C,1,7,1,0,1,2,0,23,11,13
Patrick Brown\brownpa02,VEG,C,1,0,0,0,0,0,0,2,0,6
Pavel Buchnevich\buchnpa01,NYR,LW,16,30,4,0,1,5,0,148,22,80
Connor Bunnaman\bunnaco01,PHI,F,1,1,0,0,0,0,0,18,2,29
Andre Burakovsky\burakan01,COL,LW,20,25,2,0,6,9,0,103,34,26
Brent Burns\burnsbr01,SJS,D,12,33,5,0,1,12,1,225,115,72
Will Butcher\butchwi01,NJD,D,4,17,0,0,1,1,0,62,75,31
Paul Byron\byronpa01,MTL,C,4,6,0,1,0,0,0,29,18,42
Nicholas Caamano\caamani01,DAL,RW,1,1,0,0,0,0,0,13,3,17
Drake Caggiula\caggidr01,CHI,LW,9,6,1,0,0,0,1,56,16,81
Matt Calvert\calvema01,COL,LW,12,13,0,3,1,0,1,89,22,58
Kyle Capobianco\capobky01,ARI,D,1,0,0,0,0,0,0,10,10,14
Paul Carey\careypa01,BOS,C,0,0,0,0,0,0,0,0,1,0
Brandon Carlo\carlobr01,BOS,D,4,15,0,0,0,0,0,111,76,126
