Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Max Pacioretty,Keuka Lakers,VEG,LW,32,34,8,0,5,11,0,307,35,90,0,0,0,0,192,136,16,0,5,22,0,276.3,35,90,0,0,0,0,772.3
Patrice Bergeron,Keuka Lakers,BOS,C,31,25,11,1,5,9,0,203,46,46,0,0,0,0,186,100,22,3,5,18,0,182.70000000000002,46,46,0,0,0,0,608.7
J.T. Miller,Keuka Lakers,VAN,C,27,45,9,0,3,16,2,165,38,123,0,0,0,0,162,180,18,0,3,32,4,148.5,38,123,0,0,0,0,708.5
Roman Josi,Keuka Lakers,NSH,D,16,49,4,0,1,19,0,260,108,52,0,0,0,0,96,196,8,0,1,38,0,234.0,108,52,0,0,0,0,733.0
Oscar Klefbom,Keuka Lakers,EDM,D,5,29,2,0,0,16,0,159,180,45,0,0,0,0,30,116,4,0,0,32,0,143.1,180,45,0,0,0,0,550.1
Marc-Andre Fleury,Keuka Lakers,VEG,G,0,0,0,0,0,0,0,0,0,0,27,133,1266,5,0,0,0,0,0,0,0,0,0,0,135,-399,759.6,30,525.6
Nicklas Backstrom,Keuka Lakers,WSH,C,12,42,2,0,0,16,0,132,45,30,0,0,0,0,72,168,4,0,0,32,0,118.8,45,30,0,0,0,0,469.8
Johnny Gaudreau,Keuka Lakers,CGY,LW,18,40,6,0,2,12,0,209,11,1,0,0,0,0,108,160,12,0,2,24,0,188.1,11,1,0,0,0,0,506.1
Teuvo Teravainen,Keuka Lakers,CAR,F,15,48,4,1,1,17,3,182,30,18,0,0,0,0,90,192,8,3,1,34,6,163.8,30,18,0,0,0,0,545.8
Alex Ovechkin,ABOL,WSH,LW,48,19,13,0,3,5,0,311,30,184,0,0,0,0,288,76,26,0,3,10,0,279.90000000000003,30,184,0,0,0,0,896.9000000000001
Mark Scheifele,ABOL,WPG,C,29,44,10,0,6,10,0,170,49,34,0,0,0,0,174,176,20,0,6,20,0,153.0,49,34,0,0,0,0,632.0
Morgan Rielly,ABOL,TOR,D,3,24,0,0,2,7,0,123,67,38,0,0,0,0,18,96,0,0,2,14,0,110.7,67,38,0,0,0,0,345.7
