Name,Team,NHL
Max Pacioretty,Keuka Lakers,VEG
Patrice Bergeron,Keuka Lakers,BOS
J.T. Miller,Keuka Lakers,VAN
Roman Josi,Keuka Lakers,NSH
Oscar Klefbom,Keuka Lakers,EDM
Marc-Andre Fleury,Keuka Lakers,VEG
Nicklas Backstrom,Keuka Lakers,WSH
Johnny Gaudreau,Keuka Lakers,CGY
Teuvo Teravainen,Keuka Lakers,CAR
Alex Ovechkin,ABOL,WSH
Mark Scheifele,ABOL,WPG
Mitchell Marner,ABOL,TOR
Morgan Rielly,ABOL,TOR
Oliver Ekman-Larsson,ABOL,ARI
Jaroslav Halak,ABOL,BOS
Artemi Panarin,ABOL,NYR
Bryan Rust,ABOL,PIT
Kevin Hayes,ABOL,PHI
Kevin Fiala,You're Aho,MIN
Sebastian Aho,You're Aho,CAR
Elias Lindholm,You're Aho,CGY
Alex Pietrangelo,You're Aho,STL
Alexander Edler,You're Aho,VAN
Ben Bishop,You're Aho,DAL
John Tavares,You're Aho,TOR
Jake Guentzel,You're Aho,PIT
Patric Hornqvist,You're Aho,PIT
Taylor Hall,MTA Pizza Rats,ARI
Mika Zibanejad,MTA Pizza Rats,NYR
David Pastrnak,MTA Pizza Rats,BOS
Charlie McAvoy,MTA Pizza Rats,BOS
Colton Parayko,MTA Pizza Rats,STL
Connor Hellebuyck,MTA Pizza Rats,WPG
Bo Horvat,MTA Pizza Rats,VAN
Jamie Benn,MTA Pizza Rats,DAL
Travis Konecny,MTA Pizza Rats,PHI
Andrei Svechnikov,Good Canadian Boys,CAR
Leon Draisaitl,Good Canadian Boys,EDM
Tom Wilson,Good Canadian Boys,WSH
Cale Makar,Good Canadian Boys,COL
Zach Werenski,Good Canadian Boys,CBJ
Carey Price,Good Canadian Boys,MTL
Elias Pettersson,Good Canadian Boys,VAN
Blake Coleman,Good Canadian Boys,TBL
Kailer Yamamoto,Good Canadian Boys,EDM
Gabriel Landeskog,Oakland Eh's,COL
Brayden Point,Oakland Eh's,TBL
Vladimir Tarasenko,Oakland Eh's,STL
Darnell Nurse,Oakland Eh's,EDM
Tyson Barrie,Oakland Eh's,TOR
Jordan Binnington,Oakland Eh's,STL
Blake Wheeler,Oakland Eh's,WPG
Sean Couturier,Oakland Eh's,PHI
Ryan O'Reilly,Oakland Eh's,STL
Jonathan Huberdeau,Jersey City Wok,FLA
Auston Matthews,Jersey City Wok,TOR
Mikko Rantanen,Jersey City Wok,COL
John Carlson,Jersey City Wok,WSH
Samuel Girard,Jersey City Wok,COL
Andrei Vasilevskiy,Jersey City Wok,TBL
William Karlsson,Jersey City Wok,VEG
Brayden Schenn,Jersey City Wok,STL
Alex Killorn,Jersey City Wok,TBL
David Perron,Tkachuk E. Cheese's,STL
Ryan Nugent-Hopkins,Tkachuk E. Cheese's,EDM
Patrick Kane,Tkachuk E. Cheese's,CHI
Jaccob Slavin,Tkachuk E. Cheese's,CAR
John Marino,Tkachuk E. Cheese's,PIT
Tuukka Rask,Tkachuk E. Cheese's,BOS
Mike Hoffman,Tkachuk E. Cheese's,FLA
Matthew Tkachuk,Tkachuk E. Cheese's,CGY
Ben Chiarot,Tkachuk E. Cheese's,MTL
Patrik Laine,Mad World Partners,WPG
Connor McDavid,Mad World Partners,EDM
T.J. Oshie,Mad World Partners,WSH
Jared Spurgeon,Mad World Partners,MIN
Connor Murphy,Mad World Partners,CHI
Frederik Andersen,Mad World Partners,TOR
Anton Khudobin,Mad World Partners,DAL
Nikolaj Ehlers,Mad World Partners,WPG
Filip Forsberg,Mad World Partners,NSH
Claude Giroux,Hurtzville Hosers,PHI
Sidney Crosby,Hurtzville Hosers,PIT
Alex DeBrincat,Hurtzville Hosers,CHI
Ryan Pulock,Hurtzville Hosers,NYI
Miro Heiskanen,Hurtzville Hosers,DAL
Braden Holtby,Hurtzville Hosers,WSH
Mathew Barzal,Hurtzville Hosers,NYI
Jonathan Toews,Hurtzville Hosers,CHI
Sergei Bobrovsky,Hurtzville Hosers,FLA
Jaden Schwartz,Phil Kessel's Sister,STL
Nathan MacKinnon,Phil Kessel's Sister,COL
Mark Stone,Phil Kessel's Sister,VEG
Kris Letang,Phil Kessel's Sister,PIT
Shea Weber,Phil Kessel's Sister,MTL
David Rittich,Phil Kessel's Sister,CGY
Philipp Grubauer,Phil Kessel's Sister,COL
Nick Foligno,Phil Kessel's Sister,CBJ
Neal Pionk,Phil Kessel's Sister,WPG
Chris Kreider,Hot Hockey Hair,NYR
Sean Monahan,Hot Hockey Hair,CGY
Nikita Kucherov,Hot Hockey Hair,TBL
Victor Hedman,Hot Hockey Hair,TBL
Brayden McNabb,Hot Hockey Hair,VEG
Jacob Markstrom,Hot Hockey Hair,VAN
Reilly Smith,Hot Hockey Hair,VEG
Brendan Gallagher,Hot Hockey Hair,MTL
Corey Crawford,Hot Hockey Hair,CHI
Brad Marchand,Got Malk?,BOS
Evgeni Malkin,Got Malk?,PIT
Ryan Reaves,Got Malk?,VEG
Torey Krug,Got Malk?,BOS
Ryan Ellis,Got Malk?,NSH
Carter Hart,Got Malk?,PHI
Steven Stamkos,Got Malk?,TBL
Boone Jenner,Got Malk?,CBJ
William Nylander,Got Malk?,TOR
Kyle Connor,Shushu Kitty Litter,WPG
Brock Nelson,Shushu Kitty Litter,NYI
Tyler Seguin,Shushu Kitty Litter,DAL
Jacob Trouba,Shushu Kitty Litter,NYR
Ivan Provorov,Shushu Kitty Litter,PHI
Mikko Koskinen,Shushu Kitty Litter,EDM
Anders Lee,Shushu Kitty Litter,NYI
Jakub Vrana,Shushu Kitty Litter,WSH
Zach Parise,Shushu Kitty Litter,MIN
