Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Patrice Bergeron,Keuka Lakers,BOS,C,31,25,11,1,5,9,0,203,46,46,0,0,0,0,186,100,22,3,5,18,0,182.70000000000002,46,46,0,0,0,0,608.7
Zach Sanford,Keuka Lakers,STL,LW,16,14,1,0,3,0,0,90,32,109,0,0,0,0,96,56,2,0,3,0,0,81.0,32,109,0,0,0,0,379.0
Max Pacioretty,Keuka Lakers,VEG,LW,32,34,8,0,5,11,0,307,35,90,0,0,0,0,192,136,16,0,5,22,0,276.3,35,90,0,0,0,0,772.3
Johnny Gaudreau,Keuka Lakers,CGY,LW,18,40,6,0,2,12,0,209,11,1,0,0,0,0,108,160,12,0,2,24,0,188.1,11,1,0,0,0,0,506.1
Teuvo Teravainen,Keuka Lakers,CAR,F,15,48,4,1,1,17,3,182,30,18,0,0,0,0,90,192,8,3,1,34,6,163.8,30,18,0,0,0,0,545.8
J.T. Miller,Keuka Lakers,VAN,C,27,45,9,0,3,16,2,165,38,123,0,0,0,0,162,180,18,0,3,32,4,148.5,38,123,0,0,0,0,708.5
Mark Giordano,Keuka Lakers,CGY,D,5,26,2,0,0,9,2,157,148,42,0,0,0,0,30,104,4,0,0,18,4,141.3,148,42,0,0,0,0,491.3
Ryan Graves,Keuka Lakers,COL,D,9,17,0,0,0,0,2,134,150,112,0,0,0,0,54,68,0,0,0,0,4,120.60000000000001,150,112,0,0,0,0,508.6
Adam Fox,Keuka Lakers,NYR,D,8,34,1,0,4,12,0,125,92,35,0,0,0,0,48,136,2,0,4,24,0,112.5,92,35,0,0,0,0,453.5
Oscar Klefbom,Keuka Lakers,EDM,D,5,29,2,0,0,16,0,159,180,45,0,0,0,0,30,116,4,0,0,32,0,143.1,180,45,0,0,0,0,550.1
Nicklas Backstrom,Keuka Lakers,WSH,C,12,42,2,0,0,16,0,132,45,30,0,0,0,0,72,168,4,0,0,32,0,118.8,45,30,0,0,0,0,469.8
Roman Josi,Keuka Lakers,NSH,D,16,49,4,0,1,19,0,260,108,52,0,0,0,0,96,196,8,0,1,38,0,234.0,108,52,0,0,0,0,733.0
Nick Suzuki,Keuka Lakers,MTL,C,13,28,6,0,1,8,0,138,32,64,0,0,0,0,78,112,12,0,1,16,0,124.2,32,64,0,0,0,0,439.2
Bobby Ryan,Keuka Lakers,OTT,LW,5,3,0,0,0,0,0,43,13,41,0,0,0,0,30,12,0,0,0,0,0,38.7,13,41,0,0,0,0,134.7
Brock Boeser,Keuka Lakers,VAN,RW,16,29,5,0,3,9,0,169,14,28,0,0,0,0,96,116,10,0,3,18,0,152.1,14,28,0,0,0,0,437.1
Valeri Nichushkin,Keuka Lakers,COL,RW,13,14,1,1,3,0,0,113,22,84,0,0,0,0,78,56,2,3,3,0,0,101.7,22,84,0,0,0,0,349.7
